Auction_Year,Name,Role,Nationality,Winning Bid in Rs,RCB_Matches,RCB_Runs,RCB_Wickets,RCB_Batting_Average,RCB_Strike_Rate,RCB_Economy,Cost_per_Run,Cost_per_Wicket
2016,Shane Watson,All-Rounder,Overseas,95000000,24,250,25,12.8,116.28,8.05,380000.0,3800000.0
2016,Stuart Binny,All-Rounder,Indian,20000000,19,141,5,15.68,119.49,7.7,141843.97163120567,4000000.0
2016,Kane Richardson,Bowler,Overseas,20000000,0,0,0,0.0,0.0,0.0,,
2016,Samuel Badree,Bowler,Overseas,5000000,7,13,9,2.6,52.0,7.39,384615.3846153846,555555.5555555555
2016,Travis Head,Batsman,Overseas,5000000,10,205,2,28.6,135.76,10.12,24390.243902439026,2500000.0
2016,Praveen Dubey,All-Rounder,Indian,3500000,0,0,0,0.0,0.0,0.0,,
2016,Vikramjeet Malik,Bowler,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2016,Akshay Karnewar,All-Rounder,Indian,1000000,0,0,0,0.0,0.0,0.0,,
2016,Iqbal Abdullah,All-Rounder,Indian,1000000,0,0,0,0.0,0.0,0.0,,
2016,Sachin Baby,Batsman,Indian,1000000,8,119,2,29.75,145.12,4.8,8403.361344537816,500000.0
2016,Vikas Tokas,Bowler,Indian,1000000,0,0,0,0.0,0.0,0.0,,
2017,Tymal Mills,Bowler,Overseas,120000000,5,8,5,2.67,72.73,7.78,15000000.0,24000000.0
2017,Aniket Choudhary,Bowler,Indian,20000000,0,0,0,0.0,0.0,0.0,,
2017,Pawan Negi,All-Rounder,Indian,10000000,17,153,20,10.12,121.43,6.42,65359.47712418301,500000.0
2017,Billy Stanlake,Bowler,Overseas,3000000,0,0,0,0.0,0.0,0.0,,
2017,Praveen Dubey,All-Rounder,Indian,1000000,0,0,0,0.0,0.0,0.0,,
2018,Chris Woakes,All-Rounder,Overseas,74000000,0,0,0,0.0,0.0,0.0,,
2018,Yuzvendra Chahal,Bowler,Indian,60000000,58,17,69,3.5,32.69,6.9,3529411.7647058824,869565.2173913043
2018,Umesh Yadav,Bowler,Indian,42000000,27,28,28,4.42,70.0,8.24,1500000.0,1500000.0
2018,Brendon McCullum,Batsman,Overseas,36000000,6,127,0,21.17,139.56,0.0,283464.56692913384,
2018,Washington Sundar,All-Rounder,Indian,32000000,31,208,19,12.1,109.47,6.99,153846.15384615384,1684210.5263157894
2018,Navdeep Saini,Bowler,Indian,30000000,0,0,0,0.0,0.0,0.0,,
2018,Quinton de Kock,Wicket Keeper,Overseas,28000000,8,201,0,25.12,122.56,0.0,139303.48258706467,
2018,Mohammed Siraj,Bowler,Indian,26000000,87,109,84,11.64,89.34,7.63,238532.11009174312,309523.8095238095
2018,Nathan Coulter-Nile,Bowler,Overseas,22000000,0,0,0,0.0,0.0,0.0,,
2018,Colin de Grandhomme,All-Rounder,Overseas,22000000,13,177,2,20.76,129.2,8.06,124293.78531073446,11000000.0
2018,Murugan Ashwin,Bowler,Indian,22000000,2,1,3,1.0,50.0,6.67,22000000.0,7333333.333333333
2018,Parthiv Patel,Wicket Keeper,Indian,17000000,20,526,0,28.62,137.7,0.0,32319.391634980988,
2018,Moeen Ali,All-Rounder,Overseas,17000000,19,309,10,16.92,155.28,6.89,55016.181229773465,1700000.0
2018,Mandeep Singh,All-Rounder,Indian,14000000,0,0,0,0.0,0.0,0.0,,
2018,Manan Vohra,Batsman,Indian,11000000,0,0,0,0.0,0.0,0.0,,
2018,Pawan Negi,All-Rounder,Indian,10000000,5,9,3,2.25,75.0,8.49,1111111.111111111,3333333.3333333335
2018,Tim Southee,Bowler,Overseas,10000000,8,52,5,26.0,113.04,8.26,192307.6923076923,2000000.0
2018,Kulwant Khejroliya,Bowler,Indian,8500000,0,0,0,0.0,0.0,0.0,,
2018,Aniket Choudhary,Bowler,Indian,3000000,0,0,0,0.0,0.0,0.0,,
2018,Pavan Deshpande,All-Rounder,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2018,Anirudha Ashok Joshi,All-Rounder,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2019,Shivam Dube,All-Rounder,Indian,50000000,14,169,4,15.88,119.01,7.18,295857.9881656805,12500000.0
2019,Shimron Hetmyer,Batsman,Overseas,42000000,5,90,0,18.0,118.42,0.0,466666.6666666667,
2019,Akshdeep Nath,All-Rounder,Indian,36000000,0,0,0,0.0,0.0,0.0,,
2019,Prayas Ray Barman,All-Rounder,Indian,15000000,0,0,0,0.0,0.0,0.0,,
2019,Himmat Singh,Batsman,Indian,6500000,0,0,0,0.0,0.0,0.0,,
2019,Gurkeerat Mann Singh,All-Rounder,Indian,5000000,8,169,0,51.84,108.33,0.0,29585.798816568047,
2019,Heinrich Klaasen,Wicket Keeper,Overseas,5000000,2,9,0,4.5,90.0,0.0,555555.5555555555,
2019,Devdutt Padikkal,Batsman,Indian,2000000,39,1131,0,30.2,123.88,0.0,1768.3465959328028,
2019,Milind Kumar,All-Rounder,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2020,Chris Morris,All-Rounder,Overseas,100000000,9,34,11,8.5,161.9,5.76,2941176.470588235,9090909.090909092
2020,Aaron Finch,Batsman,Overseas,44000000,12,268,0,22.33,105.51,0.0,164179.10447761195,
2020,Kane Richardson,Bowler,Overseas,40000000,0,0,0,0.0,0.0,0.0,,
2020,Dale Steyn,Bowler,Overseas,20000000,0,0,0,0.0,0.0,0.0,,
2020,I Udana,All-Rounder,Overseas,5000000,10,15,8,5.0,136.36,9.03,333333.3333333333,625000.0
2020,Shahbaz Ahmed,Wicket Keeper,Indian,2000000,34,321,14,11.83,109.18,8.71,6230.529595015576,142857.14285714287
2020,JR Philippe,Wicket Keeper,Overseas,2000000,5,78,0,19.5,97.5,0.0,25641.02564102564,
2020,Pavan Deshpande,All-Rounder,Indian,2000000,0,0,0,0.0,0.0,0.0,,
