,Name,Price in $,Role,TeamName
0,Christopher Morris,"625,000",All-Rounder,Chennai Super Kings
1,Dirk Nannes,"600,000",Bowler,Chennai Super Kings
2,Ben Laughlin,"20,000",Bowler,Chennai Super Kings
3,Akila Dananjaya,"20,000",All-Rounder,Chennai Super Kings
4,Jason Holder,"20,000",Bowler,Chennai Super Kings
5,Johan Botha,"450,000",All-Rounder,Delhi Daredevils
6,Jesse Ryder,"260,000",All-Rounder,Delhi Daredevils
7,Jeevan Mendis,"50,000",All-Rounder,Delhi Daredevils
8,Manpreet Gony,"500,000",Bowler,Kings XI Punjab
9,Luke Pomersbach,"300,000",Batsman,Kings XI Punjab
10,Sachithra Senanayaka,"625,000",All-Rounder,Kolkata Knight Riders
11,Ryan McLaren,"50,000",Bowler,Kolkata Knight Riders
12,Glenn Maxwell,"1,000,000",All-Rounder,Mumbai Indians
13,Nathan Coulter-Nile,"450,000",Bowler,Mumbai Indians
14,Ricky Ponting,"400,000",Batsman,Mumbai Indians
15,Philip Hughes,"100,000",Batsman,Mumbai Indians
16,Jacob Oram,"50,000",All-Rounder,Mumbai Indians
17,Ajantha Mendis,"725,000",Bowler,Pune Warriors India
18,Kane Richardson,"700,000",Bowler,Pune Warriors India
19,Abhishek Nayar,"675,000",All-Rounder,Pune Warriors India
20,Michael Clarke,"400,000",Batsman,Pune Warriors India
21,James Faulkner,"400,000",All-Rounder,Rajasthan Royals
22,Fidel Edwards,"210,000",Bowler,Rajasthan Royals
23,Kusal Janith Perera,"20,000",Wicket Keeper,Rajasthan Royals
24,Jaydev Unadkat,"525,000",Bowler, Royal Challengers Bengaluru
25,Rudra Pratap Singh,"400,000",Bowler, Royal Challengers Bengaluru
26,Moises Henriques,"300,000",All-Rounder, Royal Challengers Bengaluru
27,Ravi Rampaul,"290,000",Bowler, Royal Challengers Bengaluru
28,Pankaj Singh,"150,000",Bowler, Royal Challengers Bengaluru
29,Daniel Christian,"100,000",All-Rounder, Royal Challengers Bengaluru
30,Christopher Barnwell,"50,000",All-Rounder, Royal Challengers Bengaluru
31,Thisara Perera,"675,000",All-Rounder, Sunrisers Hyderabad
32,Darren Sammy,"425,000",All-Rounder, Sunrisers Hyderabad
33,Sudeep Tyagi,"100,000",Bowler, Sunrisers Hyderabad
34,Clinton McKay,"100,000",Bowler, Sunrisers Hyderabad
35,Nathan McCullum,"100,000",Bowler, Sunrisers Hyderabad
36,Quinton De Kock,"20,000",Wicket Keeper, Sunrisers Hyderabad
