,Name,Price in rs,Role,TeamName
0,Mohit Sharma,"5,00,00,000",Bowler, Chennai Super Kings
1,Ruturaj Gaikwad ,"20,00,000",Batsman, Chennai Super Kings
2,Colin Ingram,"6,40,00,000",Batsman, Delhi Capitals
3,Axar Rajesh Patel,"5,00,00,000",All-Rounder, Delhi Capitals
4,Hanuma Vihari,"2,00,00,000",Batsman, Delhi Capitals
5,Sherfane Rutherford,"2,00,00,000",All-Rounder, Delhi Capitals
6,Ishant Sharma,"1,10,00,000",Bowler, Delhi Capitals
7,Keemo Paul,"50,00,000",All-Rounder, Delhi Capitals
8,Jalaj Saxena,"20,00,000",All-Rounder, Delhi Capitals
9,Ankush Bains,"20,00,000",Wicket Keeper, Delhi Capitals
10,Nathu Singh,"20,00,000",Bowler, Delhi Capitals
11,Bandaru Ayyappa,"20,00,000",Bowler, Delhi Capitals
12,Varun Chakaravarthy,"8,40,00,000",All-Rounder,Kings XI Punjab
13,Sam Curran,"7,20,00,000",All-Rounder,Kings XI Punjab
14,Mohammad Shami,"4,80,00,000",Bowler,Kings XI Punjab
15,Prabhsimran Singh,"4,80,00,000",Wicket Keeper,Kings XI Punjab
16,Nicolas Pooran,"4,20,00,000",Wicket Keeper,Kings XI Punjab
17,Moises Henriques,"1,00,00,000",All-Rounder,Kings XI Punjab
18,Hardus Viljoen,"75,00,000",Bowler,Kings XI Punjab
19,Darshan Nalkande,"30,00,000",All-Rounder,Kings XI Punjab
20,Sarfaraz Naushad Khan,"25,00,000",All-Rounder,Kings XI Punjab
21,Arshdeep Singh ,"20,00,000",Bowler,Kings XI Punjab
22,Agnivesh Ayachi,"20,00,000",All-Rounder,Kings XI Punjab
23,Harpreet Brar,"20,00,000",All-Rounder,Kings XI Punjab
24,M. Ashwin,"20,00,000",Bowler,Kings XI Punjab
25,Carlos Brathwaite,"5,00,00,000",All-Rounder, Kolkata Knight Riders
26,Lockie Ferguson ,"1,60,00,000",Bowler, Kolkata Knight Riders
27,Joe Denly ,"1,00,00,000",Batsman, Kolkata Knight Riders
28,Harry Gurney,"75,00,000",Bowler, Kolkata Knight Riders
29,Nikhil Shankar Naik,"20,00,000",Wicket Keeper, Kolkata Knight Riders
30,Shrikant Mundhe,"20,00,000",All-Rounder, Kolkata Knight Riders
31,Prithvi Raj Yarra,"20,00,000",Bowler, Kolkata Knight Riders
32,Anrich Nortje,"20,00,000",Bowler, Kolkata Knight Riders
33,Barinder Singh Sran,"3,40,00,000",Bowler, Mumbai Indians
34,Lasith Malinga,"2,00,00,000",Bowler, Mumbai Indians
35,Yuvraj Singh,"1,00,00,000",All-Rounder, Mumbai Indians
36,Anmolpreet Singh,"80,00,000",Batsman, Mumbai Indians
37,Pankaj Jaswal,"20,00,000",All-Rounder, Mumbai Indians
38,Rasikh Dar,"20,00,000",Bowler, Mumbai Indians
39,Jaydev Unadkat,"8,40,00,000",Bowler, Rajasthan Royals
40,Varun Aaron,"2,40,00,000",Bowler, Rajasthan Royals
41,Oshane Thomas ,"1,10,00,000",Bowler, Rajasthan Royals
42,Ashton Turner,"50,00,000",All-Rounder, Rajasthan Royals
43,Liam Livingstone,"50,00,000",All-Rounder, Rajasthan Royals
44,Shashank Singh,"30,00,000",All-Rounder, Rajasthan Royals
45,Riyan Parag,"20,00,000",All-Rounder, Rajasthan Royals
46,Manan Vohra,"20,00,000",Batsman, Rajasthan Royals
47,Shubham Ranjane,"20,00,000",All-Rounder, Rajasthan Royals
48,Shivam Dube,"5,00,00,000",All-Rounder, Royal Challengers Bengaluru
49,Shimron Hetmyer,"4,20,00,000",Batsman, Royal Challengers Bengaluru
50,Akshdeep Nath,"3,60,00,000",All-Rounder, Royal Challengers Bengaluru
51,Prayas Ray Barman,"1,50,00,000",All-Rounder, Royal Challengers Bengaluru
52,Himmat Singh,"65,00,000",Batsman, Royal Challengers Bengaluru
53,Gurkeerat Singh Mann,"50,00,000",All-Rounder, Royal Challengers Bengaluru
54,Heinrich Klaasen,"50,00,000",Wicket Keeper, Royal Challengers Bengaluru
55,Devdutt Padikkal,"20,00,000",Batsman, Royal Challengers Bengaluru
56,Milind Kumar,"20,00,000",All-Rounder, Royal Challengers Bengaluru
57,Jonny Bairstow ,"2,20,00,000",Wicket Keeper, Sunrisers Hyderabad
58,Wriddhiman Saha,"1,20,00,000",Wicket Keeper, Sunrisers Hyderabad
59,Martin Guptill,"1,00,00,000",Batsman, Sunrisers Hyderabad
