,Name,Nationality,Price in rs,Role,TeamName
0,Avanish Rao Aravelly ,Indian ,"20,00,000 ",Wicket-Keeper , Chennai Super Kings
1,Mustafizur Rahman ,Overseas ,"2,00,00,000 ",Bowler , Chennai Super Kings
2,Daryl Mitchell ,Overseas ,"14,00,00,000 ",All-Rounder , Chennai Super Kings
3,Sameer Rizvi ,Indian ,"8,40,00,000 ",Batter , Chennai Super Kings
4,Rachin Ravindra ,Overseas ,"1,80,00,000 ",All-Rounder , Chennai Super Kings
5,Shardul Thakur ,Indian ,"4,00,00,000 ",All-Rounder , Chennai Super Kings
6,Ricky Bhui ,Indian ,"20,00,000 ",Wicket-Keeper , Delhi Capitals
7,Sumit Kumar ,Indian ,"1,00,00,000 ",All-Rounder , Delhi Capitals
8,Swastik Chhikara ,Indian ,"20,00,000 ",Batter , Delhi Capitals
9,Jhye Richardson ,Overseas ,"5,00,00,000 ",Bowler , Delhi Capitals
10,Shai Hope ,Overseas ,"75,00,000 ",Wicket-Keeper , Delhi Capitals
11,Rasikh Dar ,Indian ,"20,00,000 ",Bowler , Delhi Capitals
12,Kumar Kushagra ,Indian ,"7,20,00,000 ",Wicket-Keeper , Delhi Capitals
13,Tristan Stubbs ,Overseas ,"50,00,000 ",Wicket-Keeper , Delhi Capitals
14,Harry Brook ,Overseas ,"4,00,00,000 ",Batter , Delhi Capitals
15,Kartik Tyagi ,Indian ,"60,00,000 ",Bowler , Gujarat Titans
16,Spencer Johnson ,Overseas ,"10,00,00,000 ",Bowler , Gujarat Titans
17,Manav Suthar ,Indian ,"20,00,000 ",Bowler , Gujarat Titans
18,Robin Minz ,Indian ,"3,60,00,000 ",Wicket-Keeper , Gujarat Titans
19,Sushant Mishra ,Indian ,"2,20,00,000 ",Bowler , Gujarat Titans
20,Azmatullah Omarzai ,Overseas ,"50,00,000 ",All-Rounder , Gujarat Titans
21,Shahrukh Khan ,Indian ,"7,40,00,000 ",All-Rounder , Gujarat Titans
22,Umesh Yadav ,Indian ,"5,80,00,000 ",Bowler , Gujarat Titans
23,Mujeeb Rahman ,Overseas ,"2,00,00,000 ",Bowler , Kolkata Knight Riders
24,Manish Pandey ,Indian ,"50,00,000 ",Batter , Kolkata Knight Riders
25,Gus Atkinson ,Overseas ,"1,00,00,000 ",Bowler , Kolkata Knight Riders
26,Angkrish Raghuvanshi ,Indian ,"20,00,000 ",Batter , Kolkata Knight Riders
27,Mitchell  Starc ,Overseas ,"24,75,00,000 ",Bowler , Kolkata Knight Riders
28,Sherfane Rutherford ,Overseas ,"1,50,00,000 ",Batter , Kolkata Knight Riders
29,Ramandeep  Singh ,Indian ,"20,00,000 ",All-Rounder , Kolkata Knight Riders
30,K.S. Bharat ,Indian ,"50,00,000 ",Wicket-Keeper , Kolkata Knight Riders
31,Chetan Sakariya ,Indian ,"50,00,000 ",Bowler , Kolkata Knight Riders
32,Sakib Hussain ,Indian ,"20,00,000 ",Bowler , Kolkata Knight Riders
33,Ashton Turner ,Overseas ,"1,00,00,000 ",Batter , Lucknow Super Giants
34,David Willey  ,Overseas ,"2,00,00,000 ",All-Rounder , Lucknow Super Giants
35,M. Siddharth ,Indian ,"2,40,00,000 ",Bowler , Lucknow Super Giants
36,Shivam  Mavi ,Indian ,"6,40,00,000 ",Bowler , Lucknow Super Giants
37,Arshin Kulkarni ,Indian ,"20,00,000 ",All-Rounder , Lucknow Super Giants
38,Mohd. Arshad Khan ,Indian ,"20,00,000 ",All-Rounder , Lucknow Super Giants
39,Dilshan Madushanka ,Overseas ,"4,60,00,000 ",Bowler , Mumbai Indians
40,Shreyas Gopal ,Indian ,"20,00,000 ",Bowler , Mumbai Indians
41,Shivalik Sharma ,Indian ,"20,00,000 ",All-Rounder , Mumbai Indians
42,Anshul Kamboj ,Indian ,"20,00,000 ",All-Rounder , Mumbai Indians
43,Mohammad Nabi ,Overseas ,"1,50,00,000 ",All-Rounder , Mumbai Indians
44,Naman Dhir ,Indian ,"20,00,000 ",All-Rounder , Mumbai Indians
45,Nuwan Thushara ,Overseas ,"4,80,00,000 ",Bowler , Mumbai Indians
46,Gerald Coetzee ,Overseas ,"5,00,00,000 ",All-Rounder , Mumbai Indians
47,Chris Woakes  ,Overseas ,"4,20,00,000 ",All-Rounder , Punjab Kings
48,Tanay Thyagarajann ,Indian ,"20,00,000 ",All-Rounder , Punjab Kings
49,Vishwanath Pratap Singh ,Indian ,"20,00,000 ",All-Rounder , Punjab Kings
50,Ashutosh Sharma ,Indian ,"20,00,000 ",All-Rounder , Punjab Kings
51,Shashank  Singh ,Indian ,"20,00,000 ",Batter , Punjab Kings
52,Rilee Rossouw ,Overseas ,"8,00,00,000 ",Batter , Punjab Kings
53,Prince Choudhary ,Indian ,"20,00,000 ",Bowler , Punjab Kings
54,Harshal Patel ,Indian ,"11,75,00,000 ",All-Rounder , Punjab Kings
55,Shubham Dubey ,Indian ,"5,80,00,000 ",Batter , Rajasthan Royals
56,Rovman Powell ,Overseas ,"7,40,00,000 ",Batter , Rajasthan Royals
57,Abid Mushtaq ,Indian ,"20,00,000 ",All-Rounder , Rajasthan Royals
58,Nandre Burger ,Overseas ,"50,00,000 ",Bowler , Rajasthan Royals
59,Tom Kohler-Cadmore ,Overseas ,"40,00,000 ",Wicket-Keeper , Rajasthan Royals
60,Lockie Ferguson ,Overseas ,"2,00,00,000 ",Bowler , Royal Challengers Bengaluru
61,Tom Curran ,Overseas ,"1,50,00,000 ",All-Rounder , Royal Challengers Bengaluru
62,Saurav Chuahan ,Indian ,"20,00,000 ",Batter , Royal Challengers Bengaluru
63,Alzarri Joseph ,Overseas ,"11,50,00,000 ",Bowler , Royal Challengers Bengaluru
64,Swapnil Singh ,Indian ,"20,00,000 ",All-Rounder , Royal Challengers Bengaluru
65,Yash  Dayal ,Indian ,"5,00,00,000 ",Bowler , Royal Challengers Bengaluru
66,Jhathavedh Subramanyan ,Indian ,"20,00,000 ",Bowler , Sunrisers Hyderabad
67,Akash Singh ,Indian ,"20,00,000 ",Bowler , Sunrisers Hyderabad
68,Jaydev Unadkat ,Indian ,"1,60,00,000 ",Bowler , Sunrisers Hyderabad
69,Wanindu Hasaranga ,Overseas ,"1,50,00,000 ",All-Rounder , Sunrisers Hyderabad
70,Pat Cummins ,Overseas ,"20,50,00,000 ",All-Rounder , Sunrisers Hyderabad
71,Travis Head ,Overseas ,"6,80,00,000 ",Batter , Sunrisers Hyderabad
