,Name,Nationality,BasePrices in Rs,Winning Bid in Rs,TeamName,Capped/UnCapped
0,Noor Ahmad  ,Overseas,"2,00,00,000 ","10,00,00,000 ", Chennai Super Kings,Capped
1,Ravichandaran Ashwin,Indian,"2,00,00,000 ","9,75,00,000 ", Chennai Super Kings,Capped
2,Devon Conway  ,Overseas,"2,00,00,000 ","6,25,00,000 ", Chennai Super Kings,Capped
3,Syed Khaleel Ahmed,Indian,"2,00,00,000 ","4,80,00,000 ", Chennai Super Kings,Capped
4,Rachin Ravindra  ,Overseas,"1,50,00,000 ","4,00,00,000 ", Chennai Super Kings,Capped
5,Anshul Kamboj,Indian,"30,00,000 ","3,40,00,000 ", Chennai Super Kings,Uncapped
6,Rahul Tripathi,Indian,"75,00,000 ","3,40,00,000 ", Chennai Super Kings,Capped
7,Sam Curran  ,Overseas,"2,00,00,000 ","2,40,00,000 ", Chennai Super Kings,Capped
8,Gurjapneet Singh,Indian,"30,00,000 ","2,20,00,000 ", Chennai Super Kings,Uncapped
9,Nathan Ellis  ,Overseas,"1,25,00,000 ","2,00,00,000 ", Chennai Super Kings,Capped
10,Deepak Hooda,Indian,"75,00,000 ","1,70,00,000 ", Chennai Super Kings,Capped
11,Jamie Overton  ,Overseas,"1,50,00,000 ","1,50,00,000 ", Chennai Super Kings,Capped
12,Vijay Shankar,Indian,"30,00,000 ","1,20,00,000 ", Chennai Super Kings,Uncapped
13,Vansh Bedi,Indian,"30,00,000 ","55,00,000 ", Chennai Super Kings,Uncapped
14,Andre Siddarth,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped
15,Shreyas Gopal,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped
16,Ramakrishna Ghosh,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped
17,Kamlesh Nagarkoti,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped
18,Mukesh Choudhary,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped
19,Shaik Rasheed,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped
20,KL Rahul,Indian,"2,00,00,000 ","14,00,00,000 ", Delhi Capitals,Capped
21,Mitchell Starc  ,Overseas,"2,00,00,000 ","11,75,00,000 ", Delhi Capitals,Capped
22,T. Natarajan,Indian,"2,00,00,000 ","10,75,00,000 ", Delhi Capitals,Capped
23,Jake Fraser-Mcgurk  ,Overseas,"2,00,00,000 ","9,00,00,000 ", Delhi Capitals,Capped
24,Mukesh Kumar,Overseas,"2,00,00,000 ","8,00,00,000 ", Delhi Capitals,Capped
25,Harry Brook  ,Overseas,"2,00,00,000 ","6,25,00,000 ", Delhi Capitals,Capped
26,Ashutosh Sharma,Indian,"30,00,000 ","3,80,00,000 ", Delhi Capitals,Uncapped
27,Mohit Sharma,Indian,"50,00,000 ","2,20,00,000 ", Delhi Capitals,Uncapped
28,Faf Du Plessis  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Delhi Capitals,Capped
29,Sameer Rizvi,Indian,"30,00,000 ","95,00,000 ", Delhi Capitals,Uncapped
30,Donovan Ferreira  ,Overseas,"75,00,000 ","75,00,000 ", Delhi Capitals,Capped
31,Dushmantha Chameera  ,Overseas,"75,00,000 ","75,00,000 ", Delhi Capitals,Capped
32,Vipraj Nigam,Indian,"30,00,000 ","50,00,000 ", Delhi Capitals,Uncapped
33,Karun Nair,Indian,"30,00,000 ","50,00,000 ", Delhi Capitals,Uncapped
34,Madhav Tiwari,Indian,"30,00,000 ","40,00,000 ", Delhi Capitals,Uncapped
35,Tripurana Vijay,Indian,"30,00,000 ","30,00,000 ", Delhi Capitals,Uncapped
36,Manvanth Kumar L,Indian,"30,00,000 ","30,00,000 ", Delhi Capitals,Uncapped
37,Ajay Mandal,Indian,"30,00,000 ","30,00,000 ", Delhi Capitals,Uncapped
38,Darshan Nalkande,Indian,"30,00,000 ","30,00,000 ", Delhi Capitals,Uncapped
39,Jos  Buttler   ,Overseas,"2,00,00,000 ","15,75,00,000 ", Gujarat Titans,Capped
40,Mohammad Siraj,Indian,"2,00,00,000 ","12,25,00,000 ", Gujarat Titans,Capped
41,Kagiso Rabada  ,Overseas,"2,00,00,000 ","10,75,00,000 ", Gujarat Titans,Capped
42,Prasidh Krishna,Indian,"2,00,00,000 ","9,50,00,000 ", Gujarat Titans,Capped
43,Washington Sundar,Indian,"2,00,00,000 ","3,20,00,000 ", Gujarat Titans,Capped
44,Sherfane Rutherford  ,Overseas,"1,50,00,000 ","2,60,00,000 ", Gujarat Titans,Capped
45,Gerald Coetzee  ,Overseas,"1,25,00,000 ","2,40,00,000 ", Gujarat Titans,Capped
46,Glenn Phillips  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Gujarat Titans,Capped
47,R. Sai Kishore,Overseas,"75,00,000 ","2,00,00,000 ", Gujarat Titans,Capped
48,Mahipal Lomror,Indian,"50,00,000 ","1,70,00,000 ", Gujarat Titans,Uncapped
49,Gurnoor Singh Brar,Indian,"30,00,000 ","1,30,00,000 ", Gujarat Titans,Uncapped
50,Mohd. Arshad Khan,Indian,"30,00,000 ","1,30,00,000 ", Gujarat Titans,Uncapped
51,Karim Janat  ,Overseas,"75,00,000 ","75,00,000 ", Gujarat Titans,Capped
52,Jayant Yadav,Indian,"75,00,000 ","75,00,000 ", Gujarat Titans,Capped
53,Ishant Sharma,Indian,"75,00,000 ","75,00,000 ", Gujarat Titans,Capped
54,Kumar Kushagra,Indian,"30,00,000 ","65,00,000 ", Gujarat Titans,Uncapped
55,Kulwant Khejroliya,Indian,"30,00,000 ","30,00,000 ", Gujarat Titans,Uncapped
56,Manav Suthar,Indian,"30,00,000 ","30,00,000 ", Gujarat Titans,Uncapped
57,Anuj Rawat,Indian,"30,00,000 ","30,00,000 ", Gujarat Titans,Uncapped
58,Nishant Sindhu,Indian,"30,00,000 ","30,00,000 ", Gujarat Titans,Uncapped
59,Venkatesh Iyer,Indian,"2,00,00,000 ","23,75,00,000 ", Kolkata Knight Riders,Capped
60,Anrich Nortje  ,Overseas,"2,00,00,000 ","6,50,00,000 ", Kolkata Knight Riders,Capped
61,Quinton De Kock  ,Overseas,"2,00,00,000 ","3,60,00,000 ", Kolkata Knight Riders,Capped
62,Angkrish Raghuvanshi,Indian,"30,00,000 ","3,00,00,000 ", Kolkata Knight Riders,Uncapped
63,Spencer Johnson  ,Overseas,"2,00,00,000 ","2,80,00,000 ", Kolkata Knight Riders,Capped
64,Moeen Ali  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Kolkata Knight Riders,Capped
65,Rahmanullah Gurbaz  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Kolkata Knight Riders,Capped
66,Vaibhav Arora,Indian,"30,00,000 ","1,80,00,000 ", Kolkata Knight Riders,Uncapped
67,Ajinkya Rahane,Indian,"1,50,00,000 ","1,50,00,000 ", Kolkata Knight Riders,Capped
68,Rovman Powell  ,Overseas,"1,50,00,000 ","1,50,00,000 ", Kolkata Knight Riders,Capped
69,Umran  Malik,Indian,"75,00,000 ","75,00,000 ", Kolkata Knight Riders,Capped
70,Manish Pandey,Indian,"75,00,000 ","75,00,000 ", Kolkata Knight Riders,Capped
71,Anukul Roy,Indian,"30,00,000 ","40,00,000 ", Kolkata Knight Riders,Uncapped
72,Luvnith Sisodia,Indian,"30,00,000 ","30,00,000 ", Kolkata Knight Riders,Uncapped
73,Mayank Markande,Indian,"30,00,000 ","30,00,000 ", Kolkata Knight Riders,Uncapped
74,Rishabh Pant,Indian,"2,00,00,000 ","27,00,00,000 ", Lucknow Super Giants,Capped
75,Avesh Khan,Indian,"2,00,00,000 ","9,75,00,000 ", Lucknow Super Giants,Capped
76,Akash Deep,Indian,"1,00,00,000 ","8,00,00,000 ", Lucknow Super Giants,Capped
77,David Miller  ,Overseas,"1,50,00,000 ","7,50,00,000 ", Lucknow Super Giants,Capped
78,Abdul Samad,Indian,"30,00,000 ","4,20,00,000 ", Lucknow Super Giants,Uncapped
79,Mitchell Marsh  ,Overseas,"2,00,00,000 ","3,40,00,000 ", Lucknow Super Giants,Capped
80,Shahbaz Ahamad,Indian,"1,00,00,000 ","2,40,00,000 ", Lucknow Super Giants,Capped
81,Aiden Markram  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Lucknow Super Giants,Capped
82,Matthew Breetzke  ,Overseas,"75,00,000 ","75,00,000 ", Lucknow Super Giants,Capped
83,Shamar Joseph  ,Overseas,"75,00,000 ","75,00,000 ", Lucknow Super Giants,Capped
84,M. Siddharth,Indian,"30,00,000 ","75,00,000 ", Lucknow Super Giants,Uncapped
85,Arshin Kulkarni,Indian,"30,00,000 ","30,00,000 ", Lucknow Super Giants,Uncapped
86,Rajvardhan Hangargekar,Indian,"30,00,000 ","30,00,000 ", Lucknow Super Giants,Uncapped
87,Yuvraj Chaudhary,Indian,"30,00,000 ","30,00,000 ", Lucknow Super Giants,Uncapped
88,Prince Yadav,Indian,"30,00,000 ","30,00,000 ", Lucknow Super Giants,Uncapped
89,Akash Singh,Indian,"30,00,000 ","30,00,000 ", Lucknow Super Giants,Uncapped
90,Digvesh Singh,Indian,"30,00,000 ","30,00,000 ", Lucknow Super Giants,Uncapped
91,Himmat Singh,Indian,"30,00,000 ","30,00,000 ", Lucknow Super Giants,Uncapped
92,Aryan Juyal,Indian,"30,00,000 ","30,00,000 ", Lucknow Super Giants,Uncapped
93,Trent Boult  ,Overseas,"2,00,00,000 ","12,50,00,000 ", Mumbai Indians,Capped
94,Deepak Chahar,Indian,"2,00,00,000 ","9,25,00,000 ", Mumbai Indians,Capped
95,Will Jacks  ,Overseas,"2,00,00,000 ","5,25,00,000 ", Mumbai Indians,Capped
96,Naman Dhir,Overseas,"30,00,000 ","5,25,00,000 ", Mumbai Indians,Uncapped
97,Allah  Ghazanfar  ,Overseas,"75,00,000 ","4,80,00,000 ", Mumbai Indians,Capped
98,Mitchell Santner  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Mumbai Indians,Capped
99,Ryan Rickelton  ,Overseas,"1,00,00,000 ","1,00,00,000 ", Mumbai Indians,Capped
100,Lizaad Williams  ,Overseas,"75,00,000 ","75,00,000 ", Mumbai Indians,Capped
101,Reece Topley  ,Overseas,"75,00,000 ","75,00,000 ", Mumbai Indians,Capped
102,Robin Minz,Indian,"30,00,000 ","65,00,000 ", Mumbai Indians,Uncapped
103,Karn Sharma,Indian,"50,00,000 ","50,00,000 ", Mumbai Indians,Uncapped
104,Vignesh Puthur,Indian,"30,00,000 ","30,00,000 ", Mumbai Indians,Uncapped
105,Arjun  Tendulkar,Indian,"30,00,000 ","30,00,000 ", Mumbai Indians,Uncapped
106,Bevan John Jacobs  ,Overseas,"30,00,000 ","30,00,000 ", Mumbai Indians,Uncapped
107,Venkata Satyanarayana Penmetsa,Indian,"30,00,000 ","30,00,000 ", Mumbai Indians,Uncapped
108,Raj Angad Bawa,Indian,"30,00,000 ","30,00,000 ", Mumbai Indians,Uncapped
109,Shrijith Krishnan,Indian,"30,00,000 ","30,00,000 ", Mumbai Indians,Uncapped
110,Ashwani Kumar,Indian,"30,00,000 ","30,00,000 ", Mumbai Indians,Uncapped
111,Shreyas Iyer,Indian,"2,00,00,000 ","26,75,00,000 ", Punjab Kings,Capped
112,Yuzvendra Chahal,Indian,"2,00,00,000 ","18,00,00,000 ", Punjab Kings,Capped
113,Arshdeep Singh,Overseas,"2,00,00,000 ","18,00,00,000 ", Punjab Kings,Capped
114,Marcus Stoinis  ,Overseas,"2,00,00,000 ","11,00,00,000 ", Punjab Kings,Capped
115,Marco Jansen  ,Overseas,"1,25,00,000 ","7,00,00,000 ", Punjab Kings,Capped
116,Nehal Wadhera,Indian,"30,00,000 ","4,20,00,000 ", Punjab Kings,Uncapped
117,Glenn Maxwell  ,Overseas,"2,00,00,000 ","4,20,00,000 ", Punjab Kings,Capped
118,Priyansh Arya,Indian,"30,00,000 ","3,80,00,000 ", Punjab Kings,Uncapped
119,Josh Inglis  ,Overseas,"2,00,00,000 ","2,60,00,000 ", Punjab Kings,Capped
120,Azmatullah Omarzai  ,Overseas,"1,50,00,000 ","2,40,00,000 ", Punjab Kings,Capped
121,Lockie Ferguson  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Punjab Kings,Capped
122,Vyshak Vijaykumar,Indian,"30,00,000 ","1,80,00,000 ", Punjab Kings,Uncapped
123,Yash Thakur,Indian,"30,00,000 ","1,60,00,000 ", Punjab Kings,Uncapped
124,Harpreet  Brar,Indian,"30,00,000 ","1,50,00,000 ", Punjab Kings,Uncapped
125,Aaron Hardie  ,Overseas,"1,25,00,000 ","1,25,00,000 ", Punjab Kings,Capped
126,Vishnu Vinod,Indian,"30,00,000 ","95,00,000 ", Punjab Kings,Uncapped
127,Xavier Bartlett  ,Overseas,"75,00,000 ","80,00,000 ", Punjab Kings,Capped
128,Kuldeep  Sen,Indian,"75,00,000 ","80,00,000 ", Punjab Kings,Capped
129,Pravin Dubey,Indian,"30,00,000 ","30,00,000 ", Punjab Kings,Uncapped
130,Pyla Avinash,Indian,"30,00,000 ","30,00,000 ", Punjab Kings,Uncapped
131,Suryansh  Shedge ,Indian,"30,00,000 ","30,00,000 ", Punjab Kings,Uncapped
132,Musheer Khan,Indian,"30,00,000 ","30,00,000 ", Punjab Kings,Uncapped
133,Harnoor Pannu,Indian,"30,00,000 ","30,00,000 ", Punjab Kings,Uncapped
134,Jofra Archer  ,Overseas,"2,00,00,000 ","12,50,00,000 ", Rajasthan Royals,Capped
135,Tushar Deshpande,Indian,"1,00,00,000 ","6,50,00,000 ", Rajasthan Royals,Capped
136,Wanindu Hasaranga  ,Overseas,"2,00,00,000 ","5,25,00,000 ", Rajasthan Royals,Capped
137,Maheesh Theekshana  ,Overseas,"2,00,00,000 ","4,40,00,000 ", Rajasthan Royals,Capped
138,Nitish Rana,Indian,"1,50,00,000 ","4,20,00,000 ", Rajasthan Royals,Capped
139,Fazalhaq Farooqi  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Rajasthan Royals,Capped
140,Kwena Maphaka  ,Overseas,"75,00,000 ","1,50,00,000 ", Rajasthan Royals,Capped
141,Akash Madhwal,Indian,"30,00,000 ","1,20,00,000 ", Rajasthan Royals,Uncapped
142,Vaibhav Suryavanshi,Indian,"30,00,000 ","1,10,00,000 ", Rajasthan Royals,Uncapped
143,Shubham Dubey,Indian,"30,00,000 ","80,00,000 ", Rajasthan Royals,Uncapped
144,Yudhvir Charak,Indian,"30,00,000 ","35,00,000 ", Rajasthan Royals,Uncapped
145,Ashok Sharma,Indian,"30,00,000 ","30,00,000 ", Rajasthan Royals,Uncapped
146,Kunal Rathore,Indian,"30,00,000 ","30,00,000 ", Rajasthan Royals,Uncapped
147,Kumar Kartikeya Singh,Indian,"30,00,000 ","30,00,000 ", Rajasthan Royals,Uncapped
148,Josh Hazlewood   ,Overseas,"2,00,00,000 ","12,50,00,000 ", Royal Challengers Bengaluru,Capped
149,Phil Salt  ,Overseas,"2,00,00,000 ","11,50,00,000 ", Royal Challengers Bengaluru,Capped
150,Jitesh Sharma,Indian,"1,00,00,000 ","11,00,00,000 ", Royal Challengers Bengaluru,Capped
151,Bhuvneshwar Kumar,Indian,"2,00,00,000 ","10,75,00,000 ", Royal Challengers Bengaluru,Capped
152,Liam Livingstone  ,Overseas,"2,00,00,000 ","8,75,00,000 ", Royal Challengers Bengaluru,Capped
153,Rasikh Dar,Indian,"30,00,000 ","6,00,00,000 ", Royal Challengers Bengaluru,Uncapped
154,Krunal Pandya,Indian,"2,00,00,000 ","5,75,00,000 ", Royal Challengers Bengaluru,Capped
155,Tim David  ,Overseas,"2,00,00,000 ","3,00,00,000 ", Royal Challengers Bengaluru,Capped
156,Jacob Bethell  ,Overseas,"1,25,00,000 ","2,60,00,000 ", Royal Challengers Bengaluru,Capped
157,Suyash Sharma,Indian,"30,00,000 ","2,60,00,000 ", Royal Challengers Bengaluru,Uncapped
158,Devdutt Padikkal,Indian,"2,00,00,000 ","2,00,00,000 ", Royal Challengers Bengaluru,Capped
159,Nuwan Thushara  ,Overseas,"75,00,000 ","1,60,00,000 ", Royal Challengers Bengaluru,Capped
160,Romario Shepherd  ,Overseas,"1,50,00,000 ","1,50,00,000 ", Royal Challengers Bengaluru,Capped
161,Lungisani Ngidi  ,Overseas,"1,00,00,000 ","1,00,00,000 ", Royal Challengers Bengaluru,Capped
162,Swapnil Singh,Overseas,"30,00,000 ","50,00,000 ", Royal Challengers Bengaluru,Uncapped
163,Mohit Rathee,Indian,"30,00,000 ","30,00,000 ", Royal Challengers Bengaluru,Uncapped
164,Abhinandan Singh,Indian,"30,00,000 ","30,00,000 ", Royal Challengers Bengaluru,Uncapped
165,Swastik Chhikara,Indian,"30,00,000 ","30,00,000 ", Royal Challengers Bengaluru,Uncapped
166,Manoj Bhandage,Indian,"30,00,000 ","30,00,000 ", Royal Challengers Bengaluru,Uncapped
167,Ishan Kishan,Indian,"2,00,00,000 ","11,25,00,000 ", Sunrisers Hyderabad,Capped
168,Mohammad Shami,Indian,"2,00,00,000 ","10,00,00,000 ", Sunrisers Hyderabad,Capped
169,Harshal Patel,Indian,"2,00,00,000 ","8,00,00,000 ", Sunrisers Hyderabad,Capped
170,Abhinav Manohar,Indian,"30,00,000 ","3,20,00,000 ", Sunrisers Hyderabad,Uncapped
171,Rahul Chahar,Indian,"1,00,00,000 ","3,20,00,000 ", Sunrisers Hyderabad,Capped
172,Adam Zampa  ,Overseas,"2,00,00,000 ","2,40,00,000 ", Sunrisers Hyderabad,Capped
173,Simarjeet Singh,Indian,"30,00,000 ","1,50,00,000 ", Sunrisers Hyderabad,Uncapped
174,Eshan Malinga  ,Overseas,"30,00,000 ","1,20,00,000 ", Sunrisers Hyderabad,Uncapped
175,Brydon Carse  ,Overseas,"1,00,00,000 ","1,00,00,000 ", Sunrisers Hyderabad,Capped
